# list of object assets to load in this scene
[ASSETS]
mario.txt
goomba.txt
koopa.txt
coin.txt
cloud.txt
brick.txt
#
[OBJECTS]
# type	x	y	extra_settings per object type
# type: 0 = Mario , 10 = Coin, 2 = Goomba, 3 = Paragoomba
# See OBJECT_TYPE constants in AssetIDs.h

#Portal 
50	200	160	216	180	1
50	200	160	216	180	1

#Platform
33	0	0	16	16	26	80001	80001	80001
30 	140	140	16	16	32	90100	90200	90300
32	0	180	16	16	26	80001	80001	80001
33	400	0	16	16	26	80001	80001	80001

30	180	100	16	16	2	90100	90200	90200
40	212	100
30	228	100	16	16	2	90200	90200	90300



#GOOMBA
2	200	150
3	140	100

#KOOPA
4	250	150
5	250	50

# MARIO
0	120	10

#COIN
20	100	120
20	120	120
20	140	120
20	160	120
20	180	120

20	100	100
20	120	100
20	140	100
20	160	100
20	180	100

20	100	80
20	120	80
20	140	80
20	160	80
20	180	80



