# id	left	top	right	bottom	texture_id
[SPRITES]
#####  BIG ###############
#IDLE
11121	453	171	466	198	1
11111	1	92	14	119	1

#WALKING RIGHT
11222	433	171	448	198	1
11223	415	172	430	197	1

#WALKING LEFT
11212	19	92	34	119	1
11213	37	92	52	119	1

#RUNNING RIGHT
11321	334	154	355	181	0
11322	334	154	355	181	0
11323	392	154	413	181	0

#RUNNING LEFT
11311	91	154	112	181	0
11312	65	154	86	181	0
11313	34	154	55	181	0

#JUMP WALK RIGHT
11417	379	172	394	197	1
11413	73	93	88	118	1

#JUMP RUN RIGHT & LEFT
11427	279	172	298	197	1
11423	169	93	188	118	1

#SIT RIGHT & LEFT 
11521	399	181	412	198	1
11511	55	102	68	119	1

#BRACE RIGHT & LEFT 
11621	195	92	210	119	1
11611	257	171	272	198	1

#DIE
13001	3	40	18	55	1

#####  RACOON ###############
#IDLE
14121	429	420	450	447	1 
14111	1	350	22	377	1

#WALKING RIGHT
14222	401	420	424	447	1
14223	375	420	398	445	1

#WALKING LEFT
14212	27	350	48	377	1
14213	53	350	76	377	1

#RUNNING RIGHT
14321	331	634	354	661	0
14322	362	634	384	661	0
14323	393	634	413	660	0

#RUNNING LEFT
14311	91	634	114	661	0
14312	61	634	83	661	0
14313	32	634	52	660	0

#JUMP WALK RIGHT
14417	323	420	346	447	1
14413	105	350	128	377	1

#JUMP RUN RIGHT & LEFT
14427	323	420	346	447	1
14423	105	350	128	377	1

#JUMP FALL RIGHT & LEFT
14437	297	420	320	447	1
14433	131	350	154	377	1

#SIT RIGHT & LEFT 
14521	350	430	371	447	1
14511	79	360	100	377	1

#BRACE RIGHT & LEFT 
14621	96	418	111	447	1
14611	339	348	354	377	1

#TAIL ATTACKING RIGHT
14711	38	420	61	447	1
14712	370	350	395	377	1
14713	410	350	445	377	1
14714	463	350	488	377	1
14715	38	420	61	447	1

#TAIL ATTACKING LEFT
14721	423	350	446	377	1
14722	379	350	404	377	1
14723	38	420	77	447	1
14724	473	350	498	377	1
14725	423	350	446	377	1

#FLOATING RIGHT _ SPRITE 1 = FALL _ SPRITE 2 = 14811 _ SPRITE 3 = WALK
14811	272	420	293	447	1

#FLOATING LEFT _ SPRITE 1 = FALL _ SPRITE 2 = 14812 _ SPRITE 3 = WALK
14812	157	350	178	377	1

############ SMALL ################
 #IDLE
12121	311	40	322	55	1
12111	3	16	14	31	1

#WALK RIGHT
12222	291	40	306	55	1

#WALK LEFT
12212	19	16	34	31	1

#RUN RIGHT
12321	275	0	290	15	0
12322	306	0	321	15	0
12323	335	0	350	15	0

#RUN LEFT
12311	155	0	170	15	0
12312	125	0	140	15	0
12313	95	0	110	15	0

#BRACE RIGHT & LEFT
12511	202	40	215	55	1
12521	110	16	123	31	1

#JUMP WALK RIGHT & LEFT 
12413	37	16	52	31	1
12417	273	40	288	55	1

#JUMP RUN RIGHT & LEFT 
12423	37	16	52	31	1
12427	273	40	288	55	1

#FULL_POWER_RUN RIGHT	
12621	255	40	270	55	1
12622	237	40	252	55	1

#FULL_POWER_RUN LEFT	
12611	55	16	70	31	1
12612	73	16	88	31	1

# ani_id	sprite1_id	time1	sprite2_id	time2	...
[ANIMATIONS]
400	11121	100
401	11111	100

#WALKING RIGHT & LEFT 
500	11121	100	11222	100	11223	100
501	11111	100	11212	100	11213	100

#RUNNING RIGHT & LEFT
600	11121	50	11222	50	11223	50
601	11111	50	11212	50	11213	50

#JUMP WALK
700	11417	100
701	11413	100

#JUMP RUN
800	11427	100
801	11423	100

#SIT RIGHT & LEFT 
900	11521	100
901	11511	100

#BRACE RIGHT & LEFT 
1000	11621	100
1001	11611	100

#DIE
999	13001	100

################### SMALL #################
1100	12121	100
1102	12111	100


#WALK LEFT & RIGHT 
1200	12121	75	12222	75
1201	12111	75	12212	75

#RUN LEFT & RIGHT
1300	12121	35	12222	35
1301	12111	35	12212	35

#BRACE LEFT & RIGHT
1401	12511	100
1400	12521	100

#JUMP WALK
1500	12417	100
1501	12413	100

#JUMP RUN 
1601	12423	100
1600	12427	100

#FULL POWER RUN LEFT & RIGHT
1701	12611	25	12612	25
1700	12621	25	12622	25

################### RACOON #################
2000	14121	100
2001	14111	100

#WALKING RIGHT & LEFT 
2100	14121	100	14222	100	14223	100
2101	14111	100	14212	100	14213	100

#RUNNING RIGHT & LEFT
2200	14121	50	14222	50	14223	50
2201	14111	50	14212	50	14213	50

#JUMP WALK
2300	14417	100
2301	14413	100

#JUMP RUN
2400	14427	100
2401	14423	100

#JUMP FALL
2350	14437	1000
2351	14433	1000

#FLOATING RIGHT & LEFT
2800	14437	100	14811	100	14223	100
2801	14433	100	14812	100	14213	100

#FLOATING WHEN TURBO RIGHT & LEFT
2810	14437	1	14811	1	14223	1
2811	14433	1	14812	1	14213	1


#SIT RIGHT & LEFT 
2500	14521	100
2501	14511	100

#BRACE RIGHT & LEFT 
2600	14621	100
2601	14611	100

#TAIL ATTACKING RIGHT & LEFT
2700	14711	75	14712	75	14713	75	14714	75	14715	75
2701	14721	75	14722	75	14723	75	14724	75	14725	75
