# list of object assets to load in this scene
[ASSETS]
mario.txt
coin.txt
cloud.txt
brick.txt
#
[OBJECTS]
# type	x	y	extra_settings per object type
# type: 0 = Mario , 1 = Brick, 2 = Goomba, 3 = Koopas
# See OBJECT_TYPE constants in AssetIDs.h

# MARIO
0	120	10

#COIN
4	100	100
4	120	100
4	140	100
4	160	100
4	180	100

#Platform
5	90	120	16	5	16	20001	52000	20001

# BRICKS
1	16	132
1	32	132
1	48	132

1	0	180
1	0	164
1	0	148
1	0	132
1	0	116

1	300	164
1	300	148
1	300	132

1	400	164
1	400	148
1	400	132

1	500	164
1	500	148
1	500	132

1	16	180
1	32	180
1	48	180
1	64	180
1	80	180
1	96	180
1	112	180
1	128	180
1	144	180
1	160	180
1	176	180
1	192	180
1	208	180
1	224	180
1	240	180
1	256	180
1	272	180
1	288	180
1	304	180
1	320	180
1	336	180
1	352	180
#Portal 
50	200	160	216	180	1

