# id	left	top	right	bottom	texture_id
[SPRITES]
200001	0	0	17	17	41
200002	16	0	33	17	41
200003	32	0	49	17	41
200004	48	0	65	17	41
200005	64	0	81	17	41
200006	0	16	17	33	41
200007	16	16	33	33	41
200008	32	16	49	33	41
200009	48	16	65	33	41
200010	64	16	81	33	41
200011	0	32	17	49	41
200012	16	32	33	49	41
200013	32	32	49	49	41
200014	48	32	65	49	41
200015	64	32	81	49	41
200016	0	48	17	65	41
200017	16	48	33	65	41
200018	32	48	49	65	41
200019	48	48	65	65	41
200020	64	48	81	65	41
200021	0	64	17	81	41
200022	16	64	33	81	41
200023	32	64	49	81	41
200024	48	64	65	81	41
200025	64	64	81	81	41

# ani_id	sprite1_id	time1	sprite2_id	time2	...
[ANIMATIONS]
